brian anderson, lars bergstrom, manish goregaokar, josh matthews, keegan mcallister, jack moffitt, simon sapin
jiaguang sun, lui sha, yu jiang, han liu, hui kong, rui wang, mohammad hosseini
maria cutumisu, curtis onuczko, duane szafron, jonathan schaeffer, matthew mcnaughton, thomas roy, jeff siegel, mike carbonaro
jiang wu, sheldon wang, christine chau, lei zeng, jinsong lin
augusto sampaio, carlos albuquerque, joao vasconcelos, luckerson cruz, luis figueiredo, sergio cavalcante
beth simon, tammy vandegrift, ken blaha, alvaro e. monge, dean sanders
harald ruess, bruno dutertre, vu a. ha, murali rangarajan, darren d. cofer
ramkrishna chatterjee, gopalan arun, sanjay agarwal, ben speckhard, ramesh vasudevan
william e. marsh, martin neil, patrick cates, simon forey, manesh tailor, norman e. fenton
lars bratthall, robert van der geest, holger hofmann, edgar jellum, zbigniew korendo, robert martinez, michal orkisz, christian zeidler, johan s. andersson
george vasiliou, george birbilis, manolis koutlis, kriton kyrimis, george tsironis
malcolm macgregor, simon t. holland, hugh robinson, mark woodman, robert p. griffiths
richard b. kieburtz, laura mckinney, jeffrey m. bell, james hook, jeffrey lewis, dino oliva, tim sheard, ira a. smith, lisa walton, alexander kotov
yingxu wang, graham king, alec dorling, dilip patel, ian court, geoff staples, margaret ross
i. s. dunietz, willa k. ehrlich, b. d. szablak, colin l. mallows, anthony iannino
claude godart, gerome canals, francois charoy, pascal molli, hala skaf-molli
carlos rodriguez, joseph sifakis, jean-claude fernandez, hubert garavel, laurent mounier, anne rasse
burt l. rubenstein, gene forte, ronald j. norman, wayne stevens, elliot j. chikofsky, john jenkins
james a. clause, cagri sahin, ryan mckenna, zachary pearson, philip tornquist
melina mongiovi, gustavo mendes, marcio de medeiros ribeiro, rohit gheyi, gustavo soares
andy podgurski, shruti raghavan, rosanne rohana, david leon, vinay augustine
rui abreu, jacome cunha, joao paulo fernandes, joao saraiva, pedro martins 0001, alexandre perez
walid abdelmoez, s. bogazzi, hany h. ammar, ali mili, rajesh gunnalan, bo yu, mark shereshevsky, mustafa korkmaz
paulo borba, vander alves, ivan cardim, heitor vital, pedro h. m. sampaio, alexandre l. g. damasceno, geber ramalho
donald p. pazel, pradeep varma, beth tibbitts, ashok anand, philippe charles, amit m. paradkar
c. w. irving, charles mckay, colin atkinson, david a. eichmann, m. weisskopf
zhanyong wan, daniel jasper, manuel klimek, chandler carruth, hyrum k. wright
zhong jie li, jun zhu, sheng huang, yanghua xiao, wei wang 0009
brian lings, bjorn lundell, marcel beekveld, anders mattsson, henrik gustavsson
in sang chung, hyeon soo kim, hyun seop bae, dong gil lee, yong rae kwon
susanne rosch, stefan feldmann, sebastian ulewicz, birgit vogel-heuser, juliane fischer
kapil anand, khaled elwazeer, aparna kotha, matthew smithson, rajeev barua, angelos d. keromytis
willy zwaenepoel, rekha bachwani, olivier crameri, ricardo bianchini, dejan kostic
olivier ponsini, helene collavizza, carine fedele, claude michel, michel rueher
andre l. ferreira, ricardo jorge machado, jose g. silva, rui f. batista, lino costa, mark c. paulk
lei wang, zheng wang, chen yang, li zhang, qiang ye
enrique perez, radu bercaru, alexandra galatescu, vladimir florian, laura costea, dan conescu, alexandru stanciu, elaine isnard
vasiliki demesticha, jan kleindienst, marion mast, lazaros polymenakos, henrik schulz, jaroslav gergic, ladislav seredi
ignac lovrek, gordan jezic, mario kusek, igor ljubi, antun caric, darko huljenic, sasa desic, ozren labor
hagen volzer, brenton atchison, paul a. strooper, peter alexander lindsay, anthony macdonald
s. di vettimo, a. botta, t. vimercati, donato tagliabue, massimo contini
eugene h. spafford, samuel s. wagstaff jr., mohd a. bashar, ganesh krishnan, markus g. kuhn
norio kurishima, hiroshi oikawa, jun-ichi nakamura, kazuo amari, masanobu fujioka
mai zheng, xiangyun zhang, feng qin, abhik roychoudhury, william n. sumner, dawei qi
yasufumi toyoshima, pei hsia, david chenho kung, jeremy lin, jerry zeyu gao
felix geller, michael haupt, michael perscheid, bastian steinert, robert hirschfeld
ira d. baxter, kenn r. luecke, michael mehlich, brian j. ellis, robert l. akers
zhengwei qi, gengbiao chen, zhuo wang, ruoyu zhang, kan zhou, kangqi ni, kai chen 0006, shiqiu huang, haibing guan
carlo a. furia, bertrand meyer, manuel oriol, marco trudel, martin nordio
patrick albert, philippe bauquel, jacques perronnet, jordi cabot, valerio cosentino
slinger jansen, jurriaan hage, geer p. haas, ravi khadka, amir saeidi
hideto ogawa, yuichiroh nakagawa, tomoyuki myojin, makoto ichii, masaki chikahisa
vikrant s. kaulgud, shubhashis sengupta, gary titus, janardan misra, k. m. annervaz
sergio gutierrez, elvira albert, israel cabanas, antonio flores-montoya, miguel gomez-zamalloa
hua chu, shengming hu, zhao yun, qingshan li, ping chen
kapil anand, khaled elwazeer, aparna kotha, matthew smithson, rajeev barua
rodrigo andrade, vaidas gasiunas, lucas satabin, henrique rebelo, paulo borba, marcio de medeiros ribeiro
jens kohl, agnes kotucz, johann p. prenninger, ansgar dorneich, stefan meinzer
reidar conradi, odd petter n. slyngstad, parastoo mohagheghi, anita gupta, harald ronneberg, einar landre
manuel oriol, ajitha rajan, giovanni denaro, hana chockler, meijia ling, grigory fedyukovich, antti eero johannes hyvarinen, ali muhammad, ondrej sery, natasha sharygina, michael tautschnig, leonardo mariani
hiroshi kazato, tsuyoshi oshima, takashi kobayashi, shinpei hayashi, motoshi saeki, takashi hoshino, satoshi okada, shunsuke miyata
ilie savga, michael rudolf 0001, jan lehmann, harald wendel, jacek sliwerski
tao peng, giampaolo armellin, dario betti, annamaria chiasera, tefo james toai, marco ronchetti
joshua garcia, nenad medvidovic, pooyan behnamghader, daniel link, arman shahbazian, duc minh le
patrick kreutzer, georg dotzler, matthias ring, bjorn m. eskofier, michael philippsen
jie zou, ling xu, weikang guo, meng yan, dan yang, xiaohong zhang
ayse bener, mayy habayeb, andriy v. miranskyy, leotis buchanan, syed shariyar murtaza
rahul kumar, akash lal, varun tulsian, aditya kanade, aditya v. nori
alexander c. maclean, charles d. knutson, jason r. casebolt, jonathan l. krein, daniel p. delorey
weining liu, abraham al-dabbagh, nilam kaushik, shimin li, ladan tahvildari, mehdi amoui
perri tarr, murray cantor, robert delmonico, sateesh kannegala, mila keren, ashok pon kumar, segev wasserkrug, sergey zeltyn
steven nordstrom, shweta shetty, kumar gaurav chhokra, jonathan sprinkle, brandon k. eames, akos ledeczi
priya narasimhan, utsav drolia, jiaqi tan, nathan d. mickulicz, rajeev gandhi
sylvain vauttier, marianne huchard, lei zhang, huaxi (yulin) zhang, christelle urtado
sven efftinge, moritz eysholdt, jan kohnlein, sebastian zarnekow, robert von massow, michael hanus, wilhelm hasselbring
jendrik johannes, mirko seifert, florian heidenreich, christian wende, marcel bohme
paul curzon, yi zhang, paolo masci, harold w. thimbleby, paul l. jones
jafar m. al-kofahi, nam h. pham, hoan anh nguyen, tung thanh nguyen, tien n. nguyen
alessandro fantechi, franco mazzanti, alessandro lapadula, rosario pugliese, francesco tiezzi, stefania gnesi
markus huber, wolfgang schramm, andreas mauczka, christian schanes, mario bernhart, thomas grechenig
salvatore guarnieri, radhia cousot, marco pistoia, patrick cousot, omer tripp
sebastien gerard, francois terrier, francois lagarde, huascar espinoza, charles andre
josef svenningsson, hans svensson, nicholas smallbone, thomas arts, ulf norell, john hughes
michael balser, gerhard schellhorn, kurt stenzel, andreas thums, wolfgang reif
bradley dux, anand iyer, david forrester, stephen g. kobourov, saumya k. debray
assaf marron, gera weiss, david harel, nir eitan, michal gordon-kiwkowitz
xuandong li, jianhua zhao, zhixiong han, liqian yu, xin chen, linzhang wang
pierre van de laar, steven klusener, johannes c. van vliet, adam vanya, lennart holland
walid maalej, bernd brugge, nigar gurbanova, christophe joubert, tobias roehm
zhenzhou tian, ting liu, qinghua zheng, ming fan, zijiang yang, xiaodong zhang
michel dao, jean-remy falleri, marianne huchard, mathieu lafourcade, clementine nebut, violaine prince
balaji balasubramaniam, smita ghaisas, manish motwani, anjali gajendragadkar, rahul kelkar, harrick m. vin
lannan luo, sencun zhu, peng liu 0005, dinghao wu, jiang ming
nazim h. madhavji, mechelle gittens, andriy v. miranskyy, david godwin, matthew davison, mark wilding
jean-philippe babau, julien deantoni, frederic mallet, frederic thomas, gonzague reydet, chokri mraidha, ludovic gauthier, laurent rioux, nicolas sordon
vineeth kashyap, ethan a. kuefner, john wagner, kevin gibbons, john sarracino, ben wiedermann, kyle dewey, ben hardekopf
prateek saxena, inian parameshwaran, enrico budianto, shweta shinde, hung dang, atul sadhu
jifeng he, jianwen li, yinbo yao, lijun zhang 0001, geguang pu
david chemouil, denis kuperberg, nuno macedo, alcino cunha, julien brunel
sophie ramel, eric dubois 0001, rik eshuis, pierre brimont, bertrand gregoire
dino distefano, daiva naudziuniene, matko botincan, mike dodds, radu grigore, matthew j. parkinson
long fei, xifeng yan, chao liu, jiawei han, samuel p. midkiff
martin wurthner, jean-francois girard, jean-marc debaud, joachim bayer, martin apel
jeff offutt, bob kurtz, paul ammann, marcio eduardo delamaro, mariet kurtz, nida gokce
joost-pieter katoen, viet yen nguyen, marco roveri, marco bozzano, thomas noll, alessandro cimatti
zhendong niu, zhiyi ma, weizhong shao, limei yang, hui liu
chih-hong cheng, tuncay guelfirat, christian messinger, johannes o. schmitt, matthias schnelte, peter weber
steffen becker, stefan dziwok, christopher gerking, sebastian thiele, uwe pohlmann, christian heinzemann
samaneh navabpour, yogi joshi, chun wah wallace wu, shay berkovich, ramy medhat, borzoo bonakdarpour, sebastian fischmeister
douglas teoh, christian hoermann, cristina garcia cifuentes, lian li, nathan keynes, nathan hawes, manuel valdiviezo, andrew browne, jacob zimmermann, andrew craik
emiliano casalicchio, vincenzo grassi, francesco lo presti, raffaela mirandola, valeria cardellini
paul bristow, clive jervis, david j. king, robert thomson 0002, bill mitchell, simon burton, paul baker
lijesh krishnan, derek bodin, eric johnson, phil russell, eric van wyk, august schwerdfeger
shinji kusumoto, keisuke hotta, hiroshi igaki, yoshiki higo, hiroaki murakami
andrew w. keep, matthew might, shuying liang, weibin sun, david van horn
anne etien, stephane ducasse, gustavo santos, nicolas anquetil, marco tulio de oliveira valente
cyril bazin, romain robbes, romain brixtel, mathieu fontaine, boris lesner
scott d. stoller, yanhong a. liu, michael gorbovitski, tom rothamel, k. tuncay tekle
janardan misra, k. m. annervaz, vikrant s. kaulgud, shubhashis sengupta, gary titus, azmat munshi
syrine tlili, jose m. fernandez, abdelfettah belghith, bilel dridi, soufien hidouri
antoine floch, tomofumi yuki, ali el moussawi, antoine morvan, kevin martin, maxime naullet, mythri alle, ludovic l'hours, nicolas simon, steven derrien, francois charot, christophe wolinski, olivier sentieys
oleg khaschansky, dmitriy antonov, oleg smirnov, maxim mossienko, anton gubanov
giuseppe lami, alessandro fantechi, stefania gnesi, antonio bucchiarone, gianluca trentanni
xiao-yuan jing, fumin qi, fei wu, xiaoke zhu, li cheng
laurent demonceau, patrick heymans, andreas classen, quentin boucher, arnaud bourdoux
hailong zhang, shengqian yang, dacong yan, haowei wu, yan wang, atanas rountev
wenwen wang, xipeng shen, xiang yuan, chenggang wu, zhenjiang wang, jianjun li, pen-chung yew, xiaobing feng 0002, yong guan
philipp rummer, sarah grebing, mattias ulbrich, dennis felsing, vladimir klebanov
maja d'hondt, celina gibbs, jennifer baldwin, yvonne coady, nieraj singh
samaneh soltani, dragan gasevic, mohsen asadi, marek hatala, ebrahim bagheri
hideaki hata, yusuke oda, hiroyuki fudaba, graham neubig, sakriani sakti, tomoki toda, satoshi nakamura, koichi akabe
kevin lynch, edward stehle, chris rorres, spiros mancoridis, maxim shevertalov
ian j. hayes, david a. carrington, kirsten winter, peter alexander lindsay, cameron smith, r. geoff dromey
vesal vojdani, kalmer apinis, vootele rotov, helmut seidl, varmo vene, ralf vogler
yu lei, yun guo, nan li, haider riaz khan, jingshu liu
zhaoning wang, yimeng feng, junliang chen, zhongyi zhai, bo cheng, meng niu
ivan do carmo machado, paulo anselmo da mota silveira neto, silvio romero de lemos meira, yguarata cerqueira cavalcanti, eduardo santana de almeida
jurgen falb, thomas rock, edin arnautovic, roman popp, helmut jelinek, hermann kaindl
hehui liu, bin wang, xiyao cai, ping chen, xiyang liu
sridevi lingamarla, gautam b. singh, john limburg, mary watson, gary edwards, scott gobrogge
t. richard macmillan, elaine p. lusher, martha l. farinacci, sharon j. laskowski, leonard j. seligman, adrienne j. kleiboemer
ian j. de silva, steven a. harp, ken hoyme, steven johnston, mary southern, august schwerdfeger, hayley borck, mark s. boddy
matthias buchler, karim hossen, marius minea, catherine oriat, roland groz, petru florin mihancea
siobhan clarke, martin monperrus, cendrine mony, benoit baudry, franck chauvel, franck fleurey
peter m. kruse, wishnu prasetya, mark harman, onn shehory, tanja e. j. vos, alessandra bagnato, paolo tonella
zhengwei qi, andrea rosa, lubomir bulej, luca salucci, yao li, haiyang sun, omar javed, yiyu chen, yudi zheng, walter binder
marie-laure potet, robin david, sebastien bardin, thanh dinh ta, josselin feist, jean-yves marion, laurent mounier
miroslaw staron, vard antinyan, wilhelm meding, per osterstrom, erik wikstrom, johan wranker, anders henriksson, jorgen hansson
xinhai zhang, magnus persson, mattias nyberg, behrooz mokhtari, anton einarson, henrik linder, jonas westman, de-jiu chen, martin torngren
porfirio tramontana, giancarlo di mare, ferdinando ferrara, stefano scala, valerio maggio, domenico amalfitano, anna rita fasolino
cristian-alexandru staicu, paolo falcarin, mariano ceccato, alessandro cabutto, yosief weldezghi frezghi
vikhyat arora, vineet kumar, priti bansal, sangeeta sabharwal, shreya malik
xiwen wu, chen li 0009, hao zhong, linpeng huang, luxi chen
fabien dagnat, antoine beugnard, sylvain guerin, christophe guychard, fahad rafique golra
florian merz, carsten sinz, thomas gorges, thomas kropf, hendrik post
jason baker, patrick ferraioli, luis r. pereira, abram hudson, gregg barton, sagar bhatt, matt fritz, ryan odegard
angelo furfaro, teresa gallo, alfredo garro, domenico sacce, andrea tundis
andrew muyanja, paul isaac musasizi, catherine nassimbwa, sandy stevens tickodri-togboa, edward kale kayihura, amos ngabirano
philipp liegl, rainer schuster, marco zapletal, christian huemer, hannes werthner, michael aigner, martin bernauer, bjoern klinger, michaela mayr, ramin mizani, martin windisch
helge grenager solheim, frank m. lillehagen, sobah abbas petersen, havard d. jorgensen, maria anastasiou
takahiko ogino, ryuji tsuchiya, akihiko matsuoka, koichi goto, kiyotaka seki
kathrin knorr, andreas lapp, pio torre flores, jurgen schirmer, dieter kraft, jorg petersen, m. bourhaleb, t. bertram
edgar h. sibley, richard l. wexelblat, james bret michael, michael c. tanner, david c. littman
mikael fagerstrom, emre emir ismail, grischa liebel, rohit guliani, fredrik larsson, karin nordling, patrizio pelliccione, eric knauss
yoon-chan jhi, sencun zhu, peng liu 0005, dinghao wu, fangfang zhang
marie-laure potet, robin david, sebastien bardin, thanh dinh ta, josselin feist, jean-yves marion, laurent mounier
thomas herpel, jan schroeder, miroslaw staron, alessia knauss, christian berger 0001
matthew patrick, christopher a. gilligan, andrew p. craig, nik j. cunniffe, matthew parry
peter f. sweeney, alexander tarvo, nick mitchell, v. t. rajan, matthew arnold, ioana baldini
andrew henderson, aravind prakash, lok-kwong yan, xunchao hu, xujiewen wang, rundong zhou, heng yin
tariq m. king, gabriel nunez, dionny santiago, adam cando, cody mack
tim moors, malathi veeraraghavan, zhifeng tao, xuan zheng, ramesh badri
james herren, david cutler, paul del vigna, mark molloy, kristy andrews
thomas r. devine, sandeep krishnan, robyn r. lutz, j. jenny li, katerina goseva-popstojanova
dave macdonald, alok nandan, keith stobie, fred l. wurden, wolfgang grieskamp, nicolas kicillof
sreedevi sampath, vani kandimalla, renee c. bryce, gunes koru, gokulanand viswanath
stefan schiffer 0001, matthias saft, reinhold plosch, gustav pomberger, harald gruber
alessandro fantechi, daniele grasso, carlo becheri, stefano bacherini, alessio ferrari
alex groce, yang chen, john regehr, mohammad amin alipour, chaoqiang zhang
michael aichner, florian deissenboeck, markus schwalb, stefan wagner 0001, johann wimmer
shengjian guo, zijiang yang, qiuping yi, jian liu, chen zhao, chao wang 0001
michele peroli, muhammad torabi dashti, martin ochoa, abian blome, keqin li 0002
schahram dustdar, waldemar hummer, orna raz, onn shehory, philipp leitner
paul ionescu, suryakant choudhary, mustafa emre dincturk, guy-vincent jourdan, iosif-viorel onut, gregor von bochmann
silvia mara abrahao, sira vegas, natalia juristo juzgado, martin solari, isabel ramos
anand yeolekar, divyesh unadkat, vivek agarwal, r. venkatesh, shrawan kumar
gabriella carrozza, domenico cotroneo, stefano russo, roberto pietrantuono, roberto natella
maicon bernardino, avelino francisco zorzo, elder de m. rodrigues, leandro t. costa, flavio moreira de oliveira
william johansson, martin svensson, ulf e. larson, magnus almgren, vincenzo gulisano
myung-ki shin, jin-young choi, miyoung kang, eun-young elaine kang, dae-yon hwang, beom-jin kim, ki-hyuk nam
rahul jain 0007, kristian nagy, michael wahler, ettore ferranti, robin steiger
enrico giunchiglia, massimo narizzano, alessandra puddu, salvatore sabina, damiano angeletti
felix garcia, ricardo perez-castillo, ignacio garcia rodriguez de guzman, laura sanchez-gonzalez, mario piattini velthius
verena honsel, marlon welter, jens grabowski, stephan waack, daniel honsel
beth yost, matthew patron, melissa heeren, shelley krueger, mark pfaff, michael j. coblenz, joshua sunshine, jonathan aldrich, brad a. myers, samuel weber
christopher thomson, tony simons, tony cowling, mike holcombe, george michaelides
tor skude, kristian sandahl, lina lagerberg, daniel stahl, par emanuelsson
manish jain, proshanta sarkar, santonu sarkar, subhajit datta, devarshi bhatt
elder macedo rodrigues, rodrigo s. saad, maicon bernardino, avelino francisco zorzo, leandro t. costa, flavio moreira de oliveira
marco kuhrmann, thomas ternite, andreas rausch, manfred broy, jan friedrich
martin hiller, arshad jhumka, neeraj suri, andras pataricza, constantin sarbu, shariful islam
nancy r. mead, kathy beckman, jimmy lawrence, george o'mary, cynthia l. parish, perla unpingco, hope walker
kurt geihs, svein o. hallsteinsen, nearchos paspallis, frank eliassen, geir horn, jorge lorenzo, alessandro mamelli, george angelos papadopoulos
ilias gerostathopoulos, jaroslav keznikl, michal kit, frantisek plasil, noel plouzeau, tomas bures, petr hnetynka
chengsong wang, yuhua qi, xiaoguang mao, yan lei, ziying dai
weihua gong, liang huai yang, jian zhou, jiakui zhao, lijun chen 0002
carlos puchol, j. christopher ramming, adam a. porter, lawrence g. votta, lalita jategaonkar jagadeesan
jacome cunha, joao paulo fernandes, jorge mendes, joao saraiva, rui pereira, pedro martins 0001
oscar r. polo, klaus krogmann, agustin martinez-hellin, javier fernandez-salgado, pablo parra, michael hauck, sebastian sanchez prieto
shiwa s. fu, yew-huey liu, florian pinel, jih-shyr yih, shyh-kwei chen, trieu c. chieu
santiago melia beigbeder, jose-norberto mazon, cinzia cappiello, marco brambilla 0001, irene garrigos
yin yang, zhi-hu tan, jie yu, changsheng xie, jian he, jiguang wan
rubing huang, jinfu chen, dave towey, alvin t. s. chan, yansheng lu
dimitrios psaltoulis, kenneth p. birman, alan j. demers, dionysios kostoulas, indranil gupta
wenliang huang, xueting wang, xiaoqin zeng, min wang, hong yan, zhoubao sun, lixin han
jacqueline floch, cyril carrez, pawel cieslak, michal roj, richard torbjorn sanders, mazen malek shiaa
zhengwei qi, qian lin, jiewei wu, yaozu dong, haibing guan
artem polyvyanyy, marlon dumas, yong yang, liang zhang, luciano garcia-banuelos
ling xu, meng yan, dan yang, xiaohong zhang, ying fu, jeffrey d. kymer
german h. alferez, vicente pelechano, raul mazo, camille salinesi, daniel diaz
zhibin yang, kai hu, dianfu ma, jean-paul bodeveix, lei pi, jean-pierre talpin
corrado priami, pierpaolo degano, u. bianchi, stefano mannucci, simone martini 0001, bruno mojana, e. salvatori
jianxin zhang, xiaopeng wei, ling guo, qiang zhang, shiguo lian
yan liu 0003, edgar fuller, sampath yerramalla, srikanth gururajan, bojan cukic
xuehai tang, bing sun, ruilin li, juhua yin, chao li
nader kameli, lorenz prem, ban seng keng, soheil khajenoori, karen stevens
xiaolin ju, xiang chen, xingya wang, yanmei zhang, heling cao, shujuan jiang
larry m. augustin, frank c. belz, david c. luckham, james vera, doug bryan
meng wang, yi wang 0003, duo liu, zhiwei qin, zili shao
marta olszewska, jeanette heidenberg, max weijola, kirsi mikkonen, ivan porres
wilson rosa, james w. bilbro, abishek krupanand, travis packard, max m. hodal
nushafreen palsetia, g. deepa, furqan ahmed khan, p. santhi thilagam, alwyn roshan pais
abdullah yousafzai, abdullah gani, rafidah md noor, anjum naveed, raja wasim ahmad, victor chang
kaisa konnola, samuli suomi, tuomas makila, tero jokela, ville rantala, teijo lehtonen
mahmoud al-ayyoub, yaser jararweh, ahmad doulat, haythem ahmad bany salameh, ahmad al abed al aziz, mohammad a. alsmirat, abdallah khreishah
sand luz correa, jose ferreira de rezende, bruno soares da silva, micael o. m. c. de mello, mario augusto da cruz, kleber vieira cardoso
zia ul huda, ali jannesari, felix wolf, zhen li, rohit atre
tomasz tajmajer, spyros lalis, manos koutsoubelias, aleksander pruszkowski, jaroslaw domaszewicz, michele nati, alexander gluhak
yannan hu, wendong wang, ye tian, xiangyang gong, qinglei qi
aamir hussain, rao wenbi, aristides lopes da silva, muhammad nadher, muhammad mudhish
marco comerio, carlo batini, marco castelli, simone grega, marco rossetti, gianluigi viscusi
wenfeng shen, zhaokai luo, daming wei, weimin xu, xin zhu
kehua guo, wei pan, mingming lu, xiaoke zhou, jianhua ma
yunhuai liu, lin mei, chuanping hu, lan chen, zheng xu 0001
zhijiao xiao, jianmin jiang, yingying zhu, zhong ming, sheng-hua zhong, shu-bin cai
ensherah a. naeem, mustafa abd-elnaby, naglaa f. soliman, alaa m. abbas, osama salah faragallah, noura a. semary, mohiy m. hadhoud, saleh a. alshebeili, fathi e. abd el-samie
meilian lu, zhen qin, yiming cao, zhichao liu, mengxing wang
luciana cavalcante de menezes, claudio de souza baptista, ana gabrielle ramos falcao, maxwell guimaraes de oliveira, leandro balby marinho
yaping lin, yonghe liu, yupeng hu, bo yin, si-wang zhou
george drosatos, pavlos s. efraimidis, ioannis n. athanasiadis, matthias stevens, ellie d'hondt
g. rovis, p. kakavas, dimitris askounis, christos ntanos, christos botsikas
zhijun wu, jin lei, di yao, minghua wang, sarhan m. musa
nik bessis, nikolaos antonopoulos, saad liaquat kiani, ashiq anjum, michael knappmeyer
jianzhi sang, xiamu niu, xuehu yan, shen wang, ahmed a. abd el-latif
wang-tsang lee, ta-hui yang, charles v. trappey, amy j. c. trappey, gilbert y. p. lin
giuseppe di guglielmo, luigi di guglielmo, andreas foltinek, masahiro fujita, franco fummi, cristina marconcini, graziano pravadelli
jian du, jing lu, dong wu, huiping li, jie li
jose luis vazquez-poletti, rafael moreno-vozmediano, ruben santiago montero, eduardo huedo, ignacio martin llorente
xianyi chen, xingming sun, huiyu sun, zhili zhou, jianjun zhang
tsung-ming lo, ko-chin chang, chien-ping chang, kuang-shyr wu, jen-chun lee
adrian carballal, antonino santos, juan romero, j. taibo, c. rodriguez
kawtar benghazi akhlaki, maria visitacion hurtado-torres, miguel j. hornos, maria luisa rodriguez, carlos rodriguez-dominguez, ana belen pelegrina ortiz, maria jose rodriguez-fortiz
v. mohanraj, m. chandrasekaran, j. senthilkumar, s. arumugam, y. suresh
mike fournigault, yannick teglia, pierre-yvan liardet, frederique robert-inacio, alain tremeau
stere preda, frederic cuppens, nora cuppens-boulahia, joaquin garcia-alfaro, laurent toutain
byoungjip kim, sang jeong lee, youngki lee, inseok hwang, yunseok rhee, junehwa song
jean-pierre hubaux, imad aad, valtteri niemi, igor bilogrevic, murtuza jadliwala, praveen kumar, sudeep singh walia
markus tschersich, christian kahl, stephan heim, stephen crane, katja bottcher, ioannis krontiris, kai rannenberg
ioannis chatzigiannakis, georgios mylonas, panagiotis c. kokkinos, orestis akribopoulos, marios logaras, irene mavrommati
heung seok chae, gyun woo, tae yeon kim, jung ho bae, won-young kim
david vallejo-fernandez, javier albusac, j. a. mateos, carlos glez-morcillo, luis jimenez linares
zahra ahmadian, javad mohajeri, mahmoud salmasizadeh, risto m. hakala, kaisa nyberg
philip loden, qi han, lisa porta, tissa h. illangasekare, anura p. jayasumana
tsenka stoyanova, christos koulamas, george d. papadopoulos, aggeliki s. prayati, christos p. antonopoulos
dexuan zou, liqun gao, steven li, jianhua wu, xin wang
song wu, hai jin, yaqin luo, li qi, jie dai
fu-hau hsu, cheng-hsien huang, chi-hsien hsu, chih-wen ou, li-han chen, ping-cheng chiu
nai-wei lo, yingjiu li, yi-xiang hung, kuo-hui yeh, chunhua su
wenjun xu, zude zhou, duc truong pham, chunqian ji, m. yang, quan liu
lukas pustina, simon schwarzer, michael gerharz, peter martini, volker deichmann
jason liu, yue li, nathanael van vorst, scott mann, keith hellman
angelo roncalli alencar brayner, aretusa lopes, diorgens meira, ricardo vasconcelos, ronaldo menezes
dimitris kamenopoulos, george k. papakonstantinou, theodore andronikos, florina m. ciorba, panayiotis theodoropoulos
andreas ekelhart, stefan fenz, gernot goluch, markus steinkellner, edgar weippl
dan chen, roland ewald, georgios k. theodoropoulos, rob minson, ton oguara, michael lees, brian s. logan, adelinde uhrmacher
tushar singh, ki-yoon kim, kwan-sik na, james t. simpson, xiaotong li
