Conference|Year|Title|Authors|Keywords|Abstract|Category|Decision|Raw Decision
MSR|2015|Enhanced and more secure AODV routing protocol to avoid black hole attack in MANET|vijay chhari,rajesh singh,s dhakad|Mobile adhoc network component,DOS,single blcak hole attack,collaborative black hole attack|Wireless networks are gaining popularity now days, as the users require wireless connectivity irrespective of their geographic position. There is an increasing threat of attacks on MANETs. Black hole attack is a security threat in which the packet is redirected to a node that actually does not exist in the network. It’s an analogy to the black hole in the universe in which things disappear. In black hole attack malicious node uses its routing protocol in order to advertise itself for having the shortest path to the destination node or to the packet it wants to intercept. MANETs should have a secure way for transmitting packet or information over a network which is quite challenging and vital issue. In this paper, a review on different existing techniques for detection of black hole attacks with their defects is presented.|Research Paper|reject|desk reject
MSR|2015|Performance Analysis of Configured Clustered Network of Routing Information Protocol (RIP) under node and link failure|purvee kashyap,sandeep gupta,priya pathak|RIP,MANET,OPNET Modeler,Clustered Network,Adhoc networks,Protocols,Network Performance|In this study an attempt has been made to analyze and compare the compare the performance of the intra domain distance vector RIP routing information protocol using OPNET modeler with respect to increasing number of failed nodes and links in the network. In present study, a comparison of RIP protocol under clustered network has been made on the basis of throughput, delay and network load, by increasing number of failed nodes and links in the network. Simulation results are given to validate the efficiency of our architecture in detecting distortions and showing the deviations from conventional.|Research Paper|reject|desk reject
MSR|2015|An Empirical Study of End-user Programmers in the Computer Music Community|gregory burlet,abram hindle|end users,visual programming languages,software repository analysis,clone detection|Computer musicians are a community of end-user programmers who often use visual programming languages such as Max/MSP or Pure Data to realize their musical compositions. This research study conducts a multifaceted analysis of the software development practices of computer musicians when programming in these visual music-oriented languages. A statistical analysis of project metadata harvested from software repositories hosted on GitHub reveals that in comparison to the general population of software developers, computer musicians' repositories have less commits, less frequent commits, more commits on weekends, yet similar numbers of bug reports and similar numbers of contributing authors. Analysis of source code in these repositories reveals that the vast majority of code can be reconstructed from duplicate fragments. Finally, these results are corroborated by a survey of computer musicians and interviews with individuals in this end-user community. Based on this analysis and feedback from computer musicians we find that there are many avenues where software engineering can be applied to help aid this community of end-user programmers.|Research Paper|accept|accept
MSR|2015|A historical analysis of Debian package incompatibilities|tom mens,maelick claes,roberto di cosmo,jerome vouillon|package dependency,package incompatibility,empirical software engineering,software repository mining,historical analysis,software distribution,survival analysis|Users and developers of software distributions are often confronted with installation problems due to conflicting packages. A prototypical example of this are the Linux distributions such as Debian. Conflicts between packages have been studied under different points of view in the literature, in particular for the Debian operating system, but little is known about how these package conflicts evolve over time. This article present an extensive analysis of the evolution of package incompatibilities, spanning a decade of the life of the Debian stable and testing distributions for its most popular architecture, i386. Using the technique of survival analysis, this empirical study sheds some light on the origin and evolution of package incompatibilities, and provides the basis for building indicators that may be used to improve the quality of package-based distributions.|Research Paper|accept|accept
MSR|2015|Mining Recruiting Services Repositories for Software Engineering Job Requirements|jens ehlers|Software Engineering Skills,Job Requirements Study,Software Engineering Curricula|The demand of skilled software engineers by industry is higher than the supply from academic graduate programs. An effective software engineering (SE) education which fits the expertise needed by companies is striven for by both sides, academia and industry. Online job ads are adequate indicators of demanded skill sets for future SE professionals, who seek for building up a valuable profile in a competitive global job market. The contribution of this paper is an empirical study providing an evaluation of more than 80,000 job postings of leading recruiting services to identify which skills are currently essential. We cluster skills by category, quantify their demand, and show up trends in time, by region, and by industry branch. The results of this survey are of interest for educators developing new curricula, job seekers, and recruiters. Particularly, students can derive vital implications for a profitable specialization in their study program.|Practice Paper|reject|reject
MSR|2015|Does Code Structure Decay?|daniela steidl,florian deissenboeck|Software Evolution,Software Growth,Software Quality,Quality Decay,Empirical Studies,Mining History|Software systems evolve over time and are often maintained for decades. Without effective counter measures, it is generally assumed that their code quality gradually decays. In this paper, we revisit this claim with a more specific focus and ask: Does the code structure in terms of its organization in methods and files actually decay? We conduct an empirical case study mining the evolution of methods and files of nine Java open source systems to get a deeper understand how methods and files grow over time and to derive whether the overall code structure decays. Although revealing that modified methods and files do grow over time, we show that there is no trend of general structural decay as most software systems grow by adding new code instead of modifying existing code.|Research Paper|reject|reject
MSR|2015|BPMiner: Mining Developers' Behavior Patterns from Screen-Captured Task Videos|jing li,lingfeng bao,zhenchang xing,xin peng,xinyu wang,wenyun zhao|screen-captured task videos,HCI data,behavior pattern,computer vision,online search behavior,proof-of-concept prototype|Many user studies of software development use screen-capture software to record developers' behavior for post-mortem analysis. However, extracting behavioral patterns from screen-captured videos requires manual transcription and coding of videos, which is often tedious and error-prone. Automatically extracting Human-Computer Interaction (HCI) data from screen-captured videos and systematically analyzing behavioral data will help researchers analyze developers' behavior in software development more effectively and efficiently. In this paper, we present BPMiner, a novel behavior analysis approach to mine developers' behavior patterns from screen-captured videos using computer vision techniques and exploratory sequential pattern analysis. We have implemented a proof-of-concept prototype of BPMiner, and applied the BPMiner prototype to study the developers' online search behavior during software development. We conducted a case study to evaluate the BPMiner prototype with 29 hours of screen-captured task videos. The case study suggest that the BPMiner approach can open up new ways to study developers' behavior in software development.|Research Paper|reject|reject
MSR|2015|Issues faced during Requirement elicitation and management in offshore software development|aftab ahmed|Requirements Engineering,offshore RE,Stake holders,Requirement Change Management|Requirement elicitation is a difficult process when carried locally, even tough when done offshore. The issues and problems faced by requirement engineers in offshore offices include communication and collaboration problems due to distributed projects, cross functional stake holders, time zone and organizational boundaries. These problems lead to decision making, project execution power and small groups having stake holder’s needs. Change management in requirement engineering through continuous collaboration and relationship with the customer so requirements can be elicited and verified. In the last section a model of training will be proposed to overcome these challenges.|Research Paper|reject|desk reject
MSR|2015|Anvaya: An Algorithm and Case-Study on Improving the Goodness of Software Process Models generated by Mining Event-Log Data in Issue Tracking Systems|prerna juneja,divya kundra,ashish sureka|Issue Tracking Systems (ITS),Process Mining,Software Process Models,Clustering,Process Model Discovery|Issue Tracking Systems (ITS) such as Bugzilla can be viewed as Process Aware Information Systems (PAIS) generating event-logs during the life-cycle of a bug report. Process Mining consists of mining event logs generated from PAIS for process model discovery, conformance and enhancement. We apply process map discovery techniques to mine event trace data generated from ITS of open source Firefox browser project to generate and study process models. Bug life-cycle consists of diversity and variance. Therefore, the process models generated from the event-logs are spaghetti-like with large number of edges, inter-connections and nodes. Such models are complex to analyse and difficult to comprehend by a process analyst. We improve the Goodness (fitness and structural complexity) of the process models by splitting the event-log into homogeneous subsets by clustering structurally similar traces. We adapt the K-Medoid clustering algorithm with two different distance metrics: Longest Common Sub sequence (LCS) and Dynamic Time Warping (DTW). We evaluate the goodness of the process models generated from the clusters using complexity and fitness metrics. Process models generated after clustering have high degree of fitness and less structural complexity and thus are easier to comprehend compared with the process model generated from the entire event-log. We study back-forth & self-loops, bug reopening, and bottleneck in the clusters obtained and show that clustering enables better analysis. We also propose an algorithm to automate the clustering process -the algorithm takes as input the event log and returns the best cluster set.|Research Paper|reject|reject
MSR|2015|Predicting Defect Prone Modules in Web Applications|serdar bicer,banu diri|Defect prediction,Software metrics,Software quality|Simplest approach in software testing is exhaustive testing, i.e. testing all possibilities in a given code piece. However, that is impossible due to time and budget limitations. For this reason, software managers often use learning based oracles to predict defect proneness of their products. Software defect prediction techniques are used by project managers to efficiently allocate their precious resources in testing phase. Predicting defect proneness of software products has been an active research area in software engineering domain in recent years. Researchers have been using static code metrics, code churn metrics, developer networks, and module networks as inputs to their proposed models until now. However, domain specific characteristics of software has not been taken into account. In this research, we aimed to improve defect prediction performance for web applications by utilizing their characteristics.|Research Paper|reject|reject
