ID$|$Venue$|$Year$|$Title$|$H2$|$H3$|$Ref_ID$|$Cites$|$Author_IDs$|$Authors$|$Abstract
1$|$1$|$2016$|$PRADA prioritizing android devices for apps by mining largescale usage data$|$Android$|$$|$None$|$$|$1,2,3,4,5,6,7,8$|$xuan lu,xuanzhe liu,huoran li,tao xie,qiaozhu mei,dan hao,gang huang 0001,feng feng$|$None
2$|$1$|$2016$|$Release planning of mobile apps based on user reviews$|$Android$|$$|$None$|$$|$9,10,11,12,13$|$lorenzo villarroel,gabriele bavota,barbara russo,rocco oliveto,massimiliano di penta$|$None
3$|$1$|$2016$|$Toward a framework for detecting privacy policy violations in android application code$|$Android$|$$|$None$|$$|$14,15,16,17,18,19,20,21$|$rocky slavin,xiaoying wang,mitra bokaei hosseini,james hester,ram krishnan,jaspreet bhatia,travis d. breaux,jianwei niu$|$None
4$|$1$|$2016$|$Mining sandboxes$|$Android$|$$|$None$|$$|$22,23,24$|$konrad jamrozik,philipp von styp-rekowsky,andreas zeller$|$None
5$|$1$|$2016$|$Generating performance distributions via probabilistic symbolic execution$|$Performance$|$$|$None$|$$|$25,26,27$|$bihuan chen,yang liu,wei le$|$None
6$|$1$|$2016$|$Performance issues and optimizations in JavaScript an empirical study$|$Performance$|$$|$None$|$$|$28,29$|$marija selakovic,michael pradel$|$None
7$|$1$|$2016$|$Reliability of RunTime QualityofService evaluation using parametric model checking$|$Performance$|$$|$None$|$$|$30,31,32$|$guoxin su,david s. rosenblum,giordano tamburrelli$|$None
8$|$1$|$2016$|$Optimizing selection of competing services with probabilistic hierarchical refinement$|$Performance$|$$|$None$|$$|$33,34,35,26,36,37,38$|$tian huat tan,manman chen,jun sun,yang liu,etienne andre,yinxing xue,jin song dong$|$None
9$|$1$|$2016$|$The emerging role of data scientists on software development teams$|$Empirical$|$$|$None$|$$|$39,40,41,42$|$miryung kim,thomas zimmermann 0001,robert deline,andrew begel$|$None
10$|$1$|$2016$|$Belief  evidence in empirical software engineering$|$Empirical$|$$|$None$|$$|$43,40,44$|$premkumar t. devanbu,thomas zimmermann 0001,christian bird$|$None
11$|$1$|$2016$|$Grounded theory in software engineering research a critical review and guidelines$|$Empirical$|$$|$None$|$$|$45,46,47$|$klaas-jan stol,paul ralph,brian fitzgerald$|$None
12$|$1$|$2016$|$On the techniques we create the tools we build and their misalignments a study of KLEE$|$Symbolic execution$|$$|$None$|$$|$48,49,50$|$eric f. rizzi,sebastian g. elbaum,matthew b. dwyer$|$None
13$|$1$|$2016$|$Guiding dynamic symbolic execution toward unverified program executions$|$Symbolic execution$|$$|$None$|$$|$51,52,53$|$maria christakis,peter muller 0001,valentin wustholz$|$None
14$|$1$|$2016$|$Synthesizing framework models for symbolic execution$|$Symbolic execution$|$$|$None$|$$|$54,55,56,57,58$|$jinseong jeon,xiaokang qiu,jonathan fetter-degges,jeffrey s. foster,armando solar-lezama$|$None
15$|$1$|$2016$|$Typeaware concolic testing of JavaScript programs$|$Symbolic execution$|$$|$None$|$$|$59,60,61$|$monika dhok,murali krishna ramanathan,nishant sinha$|$None
16$|$1$|$2016$|$An empirical comparison of compiler testing techniques$|$Compilers and emerging trends$|$$|$None$|$$|$62,63,6,64,65,66,67$|$junjie chen,wenxiang hu,dan hao,yingfei xiong,hongyu zhang,lu zhang,bing xie$|$None
17$|$1$|$2016$|$Terminationchecking for LLVM peephole optimizations$|$Compilers and emerging trends$|$$|$None$|$$|$68,69$|$david menendez,santosh nagarakatte$|$None
18$|$1$|$2016$|$Finding and analyzing compiler warning defects$|$Compilers and emerging trends$|$$|$None$|$$|$70,71,72$|$chengnian sun,vu le,zhendong su$|$None
19$|$1$|$2016$|$iDice problem identification for emerging issues$|$Compilers and emerging trends$|$$|$None$|$$|$73,74,65,75$|$qingwei lin,jian-guang lou,hongyu zhang,dongmei zhang$|$None
20$|$1$|$2016$|$Energy profiles of Java collections classes$|$Energy and videos$|$$|$None$|$$|$76,77,78,79,80,81$|$samir hasan,zachary king,munawar hafiz,mohammed sayagh,bram adams,abram hindle$|$None
21$|$1$|$2016$|$An empirical study of practitioners perspectives on green software engineering$|$Energy and videos$|$$|$None$|$$|$82,44,83,84,85,86,87,88$|$irene manotas,christian bird,rui zhang,david c. shepherd,ciera jaspan,caitlin sadowski,lori l. pollock,james a. clause$|$None
22$|$1$|$2016$|$Automated energy optimization of HTTP requests for mobile applications$|$Energy and videos$|$$|$None$|$$|$89,90,91,92$|$ding li,yingjun lyu,jiaping gui,william g. j. halfond$|$None
23$|$1$|$2016$|$Too long didnt watch extracting relevant fragments from software development video tutorials$|$Energy and videos$|$$|$None$|$$|$93,10,94,13,12,95,11,96,97$|$luca ponzanelli,gabriele bavota,andrea mocci,massimiliano di penta,rocco oliveto,mir anamul hasan,barbara russo,sonia haiduc,michele lanza$|$None
24$|$1$|$2016$|$Overcoming open source project entry barriers with a portal for newcomers$|$Open source$|$$|$None$|$$|$98,99,100,101$|$igor steinmacher,tayana uchoa conte,christoph treude,marco aurelio gerosa$|$None
25$|$1$|$2016$|$Work practices and challenges in pullbased development the contributors perspective$|$Open source$|$$|$None$|$$|$102,103,104$|$georgios gousios,margaret-anne d. storey,alberto bacchelli$|$None
26$|$1$|$2016$|$Automatically learning semantic features for defect prediction$|$Defect prediction$|$$|$None$|$$|$105,106,107$|$song wang,taiyue liu,lin tan$|$None
27$|$1$|$2016$|$Crossproject defect prediction using a connectivitybased unsupervised classifier$|$Defect prediction$|$$|$None$|$$|$108,109,110,111$|$feng zhang 0001,quan zheng,ying zou,ahmed e. hassan$|$None
28$|$1$|$2016$|$Automated parameter optimization of classification techniques for defect prediction models$|$Defect prediction$|$$|$None$|$$|$112,113,111,114$|$chakkrit tantithamthavorn,shane mcintosh,ahmed e. hassan,ken-ichi matsumoto$|$None
