Index, Cites, Year, Title, Authors
Performance, 110, 2010, "A Theoretical and Empirical Study of SearchBased Testing Local Global and Hybrid Search", "mark harman,phil mcminn"
Performance, 91, 2011, "Software Module Clustering as a MultiObjective Search Problem", "kata praditwong,mark harman,xin yao"
Performance, 81, 2010, "A survey of algorithmic skeleton frameworks highlevel structured parallel programming enablers", "horacio gonzalez-velez,mario leyton"
Performance, 73, 2011, "Managing performance vs accuracy tradeoffs with loop perforation", "stelios sidiroglou-douskos,sasa misailovic,henry hoffmann,martin c. rinard"
Performance, 61, 2013, "Estimating mobile application energy consumption using program analysis", "shuai hao,ding li,william g. j. halfond,ramesh govindan"
Management, 63, 2010, "From integration to composition On the impact of software product lines global development and ecosystems", "jan bosch,petra bosch-sijtsema"
Management, 61, 2010, "The Rise and Fall of the Chaos Report Figures", "j. laurenz eveleens,chris verhoef"
Management, 61, 2009, "Identifying some important success factors in adopting agile software development practices", "subhas chandra misra,vinod kumar,uma kumar"
Management, 53, 2011, "A genetic algorithm for optimized feature selection with resource constraints in software product lines", "jianmei guo,jules white,guangxin wang,jian li,yinglin wang"
Management, 51, 2012, "Evaluation and Measurement of Software Process Improvement  A Systematic Literature Review", "michael unterkalmsteiner,tony gorschek,a. k. m. moinul islam,chow kian cheng,rahadian bayu permadi,robert feldt"
Metrics, 149, 2012, "A Systematic Literature Review on Fault Prediction Performance in Software Engineering", "tracy hall,sarah beecham,david bowes,david gray,steve counsell"
Metrics, 128, 2009, "Predicting faults using the complexity of code changes", "ahmed e. hassan"
Metrics, 118, 2010, "A systematic and comprehensive investigation of methods to build and evaluate fault prediction models", "erik arisholm,lionel c. briand,eivind b. johannessen"
Metrics, 115, 2009, "Crossproject defect prediction a large scale experiment on data vs domain vs process", "thomas zimmermann 0001,nachiappan nagappan,harald c. gall,emanuel giger,brendan murphy"
Metrics, 114, 2009, "On the relative value of crosscompany and withincompany data for defect prediction", "burak turhan,tim menzies,ayse bener,justin s. di stefano"
Requirements, 123, 2009, "A Systematic Survey of Program Comprehension through Dynamic Analysis", "bas cornelissen,andy zaidman,arie van deursen,leon moonen,rainer koschke"
Requirements, 101, 2009, "Software Architecture Reconstruction A ProcessOriented Taxonomy", "stephane ducasse,damien pollet"
Requirements, 88, 2014, "InterCloud architectures and application brokering taxonomy and survey", "nikolay grozev,rajkumar buyya"
Requirements, 76, 2009, "Engineering Privacy", "sarah spiekermann,lorrie faith cranor"
Requirements, 67, 2010, "A comparative study of architecture knowledge management tools", "antony tang,paris avgeriou,anton jansen,rafael capilla,muhammad ali babar"
Empirical, 608, 2009, "Guidelines for conducting and reporting case study research in software engineering", "per runeson,martin host"
Empirical, 134, 2012, "A decade of agile methodologies Towards explaining agile software development", "torgeir dingsoyr,sridhar p. nerur,venugopal balijepally,nils brede moe"
Empirical, 111, 2010, "Empirical evidence in global software engineering a systematic review", "darja smite,claes wohlin,tony gorschek,robert feldt"
Empirical, 90, 2012, "Technical Debt From Metaphor to Theory and Practice", "philippe kruchten,robert l. nord,ipek ozkaya"
Empirical, 85, 2010, "Adaptive Random Testing The ART of test case diversity", "tsong yueh chen,fei-ching kuo,robert g. merkel,t. h. tse"
Security, 113, 2009, "Reversible data hiding for high quality images using modification of prediction errors", "wien hong,tung-shou chen,chih-wei shiu"
Security, 106, 2011, "An Attack Surface Metric", "pratyusa k. manadhata,jeannette m. wing"
Security, 74, 2012, "A novel color image encryption algorithm based on DNA sequence operation and hyperchaotic system", "xiaopeng wei,ling guo,qiang zhang,jianxin zhang,shiguo lian"
Security, 73, 2011, "Threshold visual secret sharing by random grids", "tzung-her chen,kai-hsiang tsao"
Security, 70, 2013, "Dynodroid an input generation system for Android apps", "aravind machiry,rohan tahiliani,mayur naik"
Applications, 851, 2011, "CloudSim a toolkit for modeling and simulation of cloud computing environments and evaluation of resource provisioning algorithms", "rodrigo n. calheiros,rajiv ranjan,anton beloglazov,cesar augusto fonticielha de rose,rajkumar buyya"
Applications, 138, 2011, "A survey on privacy in mobile participatory sensing applications", "delphine christin,andreas reinhardt,salil s. kanhere,matthias hollick"
Applications, 89, 2011, "Dynamic QoS Management and Optimization in ServiceBased Systems", "radu calinescu,lars grunske,marta z. kwiatkowska,raffaela mirandola,giordano tamburrelli"
Applications, 81, 2010, "Collaborative reliability prediction of serviceoriented systems", "zibin zheng,michael r. lyu"
Applications, 78, 2011, "Status and trends of mobilehealth applications for iOS devices A developers perspective", "chang liu,qing zhu,kenneth a. holroyd,elizabeth k. seng"
Modelling, 252, 2009, "The “Physics” of Notations Toward a Scientific Basis for Constructing Visual Notations in Software Engineering", "daniel l. moody"
Modelling, 179, 2009, "The Palladio component model for modeldriven performance prediction", "steffen becker,heiko koziolek,ralf h. reussner"
Modelling, 81, 2011, "Runtime Verification for LTL and TLTL", "andreas klaus bauer,martin leucker,christian schallhart"
Modelling, 64, 2009, "Testing with model checkers a survey", "gordon fraser,franz wotawa,paul ammann"
Modelling, 64, 2009, "From business process models to processoriented software systems", "chun ouyang,marlon dumas,wil m. p. van der aalst,arthur h. m. ter hofstede,jan mendling"
Source Code, 157, 2010, "DECOR A Method for the Specification and Detection of Code and Design Smells", "naouel moha,yann-gael gueheneuc,laurence duchien,anne-francoise le meur"
Source Code, 123, 2013, "Feature location in source code a taxonomy and survey", "bogdan dit,meghan revelle,malcom gethers,denys poshyvanyk"
Source Code, 98, 2009, "Do code clones matter", "elmar jurgens,florian deissenboeck,benjamin hummel,stefan wagner 0001"
Source Code, 95, 2009, "Improving bug triage with bug tossing graphs", "gaeul jeong,sunghun kim 0001,thomas zimmermann 0001"
Source Code, 93, 2009, "Fair and balanced bias in bugfix datasets", "christian bird,adrian bachmann,eirik aune,john duffy,abraham bernstein,vladimir filkov,premkumar t. devanbu"
Program Analysis, 111, 2012, "GenProg A Generic Method for Automatic Software Repair", "claire le goues,thanhvu h. nguyen,stephanie forrest,westley weimer"
Program Analysis, 102, 2009, "Automatically finding patches using genetic programming", "westley weimer,thanhvu h. nguyen,claire le goues,stephanie forrest"
Program Analysis, 63, 2010, "Oracleguided componentbased program synthesis", "susmit jha,sumit gulwani,sanjit a. seshia,ashish tiwari"
Program Analysis, 62, 2009, "HOLMES Effective statistical debugging via efficient path profiling", "trishul m. chilimbi,ben liblit,krishna k. mehra,aditya v. nori,kapil vaswani"
Program Analysis, 59, 2013, "SemFix program repair via semantic analysis", "hoang d. t. nguyen,dawei qi,abhik roychoudhury,satish chandra 0001"
Testing, 277, 2011, "An Analysis and Survey of the Development of Mutation Testing", "yue jia,mark harman"
Testing, 209, 2012, "Regression testing minimization selection and prioritization a survey", "shin yoo,mark harman"
Testing, 132, 2011, "A practical guide for using statistical tests to assess randomized algorithms in software engineering", "andrea arcuri,lionel c. briand"
Testing, 108, 2009, "A practical evaluation of spectrumbased fault localization", "rui abreu,peter zoeteweij,rob golsteijn,arjan j. c. van gemund"
Testing, 106, 2010, "A Systematic Review of the Application and Empirical Investigation of SearchBased Test Case Generation", "shaukat ali khan,lionel c. briand,hadi hemmati,rajwinder kaur panesar-walawege"
