Index, Cites, Year, Title, Authors
0, 99, 2002, "Preliminary Guidelines for Empirical Research in Software Engineering", "barbara a. kitchenham,shari lawrence pfleeger,lesley pickard,peter jones,david c. hoaglin,khaled el emam,jarrett rosenberg"
0, 71, 1999, "Qualitative Methods in Empirical Studies of Software Engineering", "carolyn b. seaman"
0, 66, 2009, "Guidelines for conducting and reporting case study research in software engineering", "per runeson,martin host"
0, 55, 2006, "Maintaining mental models a study of developer work habits", "thomas d. latoza,gina danielle venolia,robert deline"
0, 45, 2005, "A Survey of Controlled Experiments in Software Engineering", "dag i. k. sjoberg,jo erskine hannay,ove hansen,vigdis by kampenes,amela karahasanovic,nils-kristian liborg,anette c. rekdal"
1, 279, 1994, "A Metrics Suite for Object Oriented Design", "shyam r. chidamber,chris f. kemerer"
1, 62, 1987, "Software Processes Are Software Too", "leon j. osterweil"
1, 40, 1993, "Capability Maturity Model Version 11", "mark c. paulk,bill curtis,mary beth chrissis,charles v. weber"
1, 37, 1991, "Software Risk Management Principles and Practices", "barry w. boehm"
1, 37, 1999, "ModelBased Testing in Practice", "siddhartha r. dalal,ashish jain,nachimuthu karunanithi,j. m. leaton,christopher m. lott,gardner c. patton,bruce m. horowitz"
2, 144, 1996, "A Validation of ObjectOriented Design Metrics as Quality Indicators", "victor r. basili,lionel c. briand,walcelio l. melo"
2, 87, 1999, "Building Knowledge through Families of Experiments", "victor r. basili,forrest shull,filippo lanubile"
2, 81, 2005, "Use of relative code churn measures to predict system defect density", "nachiappan nagappan,thomas a. ball"
2, 81, 1999, "A Unified Framework for Coupling Measurement in ObjectOriented Systems", "lionel c. briand,john w. daly,jurgen wust"
2, 79, 1993, "Objectoriented metrics that predict maintainability", "wei li 0014,sallie m. henry"
3, 25, 2008, "Static detection of crosssite scripting vulnerabilities", "gary wassermann,zhendong su"
3, 18, 1991, "Data Flow Coverage and the C Language", "joseph r. horgan,saul london"
3, 17, 2009, "Invariantbased automatic testing of AJAX user interfaces", "ali mesbah,arie van deursen"
3, 16, 2005, "AMNESIA analysis and monitoring for NEutralizing SQLinjection attacks", "william g. j. halfond,alessandro orso"
3, 15, 1995, "Software salvaging and the call dominance tree", "aniello cimitile,giuseppe visaggio"
4, 105, 1999, "N Degrees of Separation MultiDimensional Separation of Concerns", "peri l. tarr,harold ossher,william h. harrison,stanley m. sutton jr."
4, 37, 1991, "An Intelligent Tool for ReEngineering Software Modularity", "robert w. schwanke"
4, 20, 1999, "PatternBased ReverseEngineering of Design Components", "rudolf k. keller,reinhard schauer,sebastien robitaille,patrick page"
4, 19, 2005, "Information hiding interfaces for aspectoriented design", "kevin j. sullivan,william g. griswold,yuanyuan song,yuanfang cai,macneil shonle,nishit tewari,hridesh rajan"
4, 19, 2005, "Aspectoriented programming and modular reasoning", "gregor kiczales,mira mezini"
5, 102, 2000, "Bandera extracting finitestate models from Java source code", "james c. corbett,matthew b. dwyer,john hatcliff,shawn laubach,corina s. pasareanu,robby,hongjun zheng"
5, 75, 1999, "Patterns in Property Specifications for FiniteState Verification", "matthew b. dwyer,george s. avrunin,james c. corbett"
5, 69, 2003, "Model Checking Programs", "willem visser,klaus havelund,guillaume p. brat,seungjoon park,flavio lerda"
5, 59, 2002, "Alloy a lightweight object modelling notation", "daniel b. jackson"
5, 56, 1994, "Requirements Specification for ProcessControl Systems", "nancy g. leveson,mats per erik heimdahl,holly hildreth,jon damon reese"
6, 118, 2002, "CCFinder A Multilinguistic TokenBased Code Clone Detection System for Large Scale Source Code", "toshihiro kamiya,shinji kusumoto,katsuro inoue"
