Year, # Papers, # Authors
1994, 738, 994
1995, 748, 818
1996, 822, 858
1997, 939, 967
1998, 950, 937
1999, 1055, 1012
2000, 1266, 1130
2001, 1256, 1166
2002, 1190, 1173
2003, 1232, 1171
2004, 1301, 1307
2005, 1665, 1604
2006, 1454, 1322
2007, 1543, 1431
2008, 1599, 1583
2009, 1719, 1657
2010, 1701, 1709
2011, 1846, 1860
2012, 1960, 1939
2013, 2172, 2072
2014, 1911, 1849
2015, 2157, 2125
